id_municipio,nome_municipio_atlas,id_uf,idhm,idhm_educacao,idhm_renda,idhm_longevidade,renda_per_capita,indice_gini,pct_pobres,pct_criancas_pobres,taxa_analfabetismo_15mais,expectativa_anos_estudo,pct_6a14_na_escola,pct_6a14_fora_escola,pct_criancas_dom_sem_fund,pct_agua_encanada,pct_energia_eletrica,pct_coleta_lixo,pct_6a14_fund_sem_atraso,populacao_total,populacao_urbana,populacao_6_anos,populacao_6a10_anos
110001,ALTA FLORESTA D'OESTE,11,0.641,0.526,0.657,0.763,476.99,0.58,26.04,37.33,11.99,8.67,95.68,4.32,45.73,93.69,93.98,94.05,63.21,24392,13970,413,2196
110002,ARIQUEMES,11,0.702,0.6,0.716,0.806,689.95,0.53,11.54,18.76,7.9,9.18,97.21,2.79,29.58,98.54,98.58,96.72,60.96,90353,76525,1564,8593
110003,CABIXI,11,0.65,0.559,0.65,0.757,457.17,0.51,21.2,31.01,13.63,10.09,98.03,1.97,41.25,95.49,96.36,99.14,70.56,6313,2693,84,504
110004,CACOAL,11,0.718,0.62,0.727,0.821,738.06,0.57,13.08,20.03,8.29,9.74,97.61,2.39,25.72,97.96,98.89,98.17,71.14,78574,61921,1216,6454
110005,CEREJEIRAS,11,0.692,0.602,0.688,0.799,577.18,0.5,13.7,22.08,10.29,10.22,98.54,1.46,35.81,97.53,98.85,91.89,76.2,17029,14419,269,1383
110006,COLORADO DO OESTE,11,0.685,0.584,0.676,0.814,535.41,0.49,15.76,26.97,12.43,10.4,97.65,2.35,35.96,95.54,97.76,92.79,73.4,18591,13657,256,1438
110007,CORUMBIARA,11,0.613,0.473,0.63,0.774,402.15,0.48,24.02,33.3,12.47,9.82,97.09,2.91,49.81,93.24,97.81,90.19,72.08,8783,2590,139,793
110008,COSTA MARQUES,11,0.611,0.493,0.616,0.751,370.77,0.52,30.48,42.14,8.6,9.22,97.57,2.43,46.53,95.67,90.13,79.35,61.64,13678,7497,300,1511
110009,ESPIGÃO D'OESTE,11,0.672,0.536,0.691,0.819,590.8,0.52,13.86,21.58,11.33,9.55,95.91,4.09,39.66,93.7,96.7,91.07,70.26,28729,20610,459,2492
110010,GUAJARÁ-MIRIM,11,0.657,0.519,0.663,0.823,494.69,0.54,23.47,34.13,8.06,8.17,93.13,6.87,37.47,93.26,97.71,90.41,51.27,41656,35207,834,4403
110011,JARU,11,0.689,0.577,0.687,0.825,575.14,0.49,13.78,21.51,10.66,9.42,97.77,2.23,36.48,97.09,99.4,95.04,66.75,52005,35118,865,4751
110012,JI-PARANÁ,11,0.714,0.617,0.728,0.81,743.35,0.53,8.56,14.72,7.79,9.95,96.56,3.44,29.43,97.81,99.35,95.36,70.99,116610,104858,1912,9976
110013,MACHADINHO D'OESTE,11,0.596,0.446,0.629,0.755,401.42,0.55,28.55,38.74,11.79,7.8,93.22,6.78,54.59,92.56,88.1,91.21,51.06,31135,16173,599,3123
110014,NOVA BRASILÂNDIA D'OESTE,11,0.643,0.524,0.664,0.763,499.59,0.56,23.16,31.29,11.25,9.44,97.48,2.52,39.16,94.07,94.95,94.84,62.19,19874,8380,349,1804
110015,OURO PRETO DO OESTE,11,0.682,0.569,0.687,0.812,576.51,0.48,11.73,19.31,10.36,9.17,96.09,3.91,34.93,97.8,99.13,96.79,67.01,37928,28180,609,3283
110018,PIMENTA BUENO,11,0.71,0.613,0.726,0.803,734.76,0.54,9.33,16.46,8.35,9.08,97.68,2.32,29.97,97.21,99.0,97.98,65.81,33822,29417,630,3036
110020,PORTO VELHO,11,0.736,0.638,0.764,0.819,929.19,0.56,7.95,13.61,5.1,8.99,94.52,5.48,23.82,92.87,98.2,95.67,60.78,428527,390733,7151,38049
110025,PRESIDENTE MÉDICI,11,0.664,0.55,0.671,0.792,520.2,0.53,19.39,29.23,12.17,9.78,96.86,3.14,40.56,93.77,99.15,91.68,62.93,22319,13303,344,1903
110026,RIO CRESPO,11,0.643,0.513,0.637,0.813,420.61,0.58,28.5,35.83,13.29,9.03,97.72,2.28,36.1,97.99,96.42,95.82,60.7,3316,1064,51,323
110028,ROLIM DE MOURA,11,0.7,0.598,0.709,0.808,657.65,0.53,10.77,17.83,9.04,9.9,97.86,2.14,34.52,97.4,99.24,98.05,69.81,50648,41429,849,4439
110029,SANTA LUZIA D'OESTE,11,0.67,0.564,0.657,0.812,476.08,0.49,16.49,23.54,13.03,9.71,93.9,6.1,30.17,93.08,99.21,78.87,72.77,8886,4525,132,716
110030,VILHENA,11,0.731,0.659,0.734,0.808,768.98,0.5,6.37,12.22,6.08,10.55,97.82,2.18,24.73,98.16,98.29,98.01,76.05,76202,72218,1313,6725
110032,SÃO MIGUEL DO GUAPORÉ,11,0.646,0.537,0.644,0.781,440.6,0.62,33.34,42.6,10.81,9.72,97.97,2.03,42.36,97.43,96.7,98.52,67.18,21828,8470,381,2205
110033,NOVA MAMORÉ,11,0.587,0.424,0.619,0.769,377.34,0.52,28.2,37.26,13.07,7.7,92.8,7.2,50.09,93.81,91.43,78.14,53.09,22546,13067,469,2555
110034,ALVORADA D'OESTE,11,0.643,0.534,0.654,0.763,469.26,0.53,23.63,33.0,12.96,9.78,97.6,2.4,44.61,94.31,98.06,95.35,66.36,16853,8824,275,1494
