ano,sigla_uf,meta_pct,indicador_pct,origem_meta,origem_indicador,fonte
2023,RO,,,,NAO_COLETADO,INEP_MEC
2024,RO,62.3,62.6,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,RO,65.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,RO,68.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,RO,71.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,RO,74.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,RO,77.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,RO,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,AC,,,,NAO_COLETADO,INEP_MEC
2024,AC,52.7,51.4,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,AC,57.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,AC,61.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,AC,66.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,AC,70.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,AC,75.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,AC,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,AM,,52.0,,INEP_PUBLICADO,INEP_MEC
2024,AM,56.0,49.2,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,AM,60.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,AM,64.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,AM,68.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,AM,72.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,AM,76.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,AM,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,RR,,,,NAO_COLETADO,INEP_MEC
2024,RR,59.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2025,RR,62.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,RR,66.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,RR,69.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,RR,73.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,RR,76.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,RR,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,PA,,,,NAO_COLETADO,INEP_MEC
2024,PA,49.9,48.2,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,PA,54.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,PA,59.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,PA,65.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,PA,70.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,PA,75.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,PA,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,AP,,,,NAO_COLETADO,INEP_MEC
2024,AP,48.5,46.6,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,AP,53.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,AP,59.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,AP,64.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,AP,69.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,AP,74.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,AP,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,TO,,,,NAO_COLETADO,INEP_MEC
2024,TO,51.5,50.1,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,TO,56.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,TO,61.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,TO,65.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,TO,70.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,TO,75.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,TO,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,MA,,56.0,,INEP_PUBLICADO,INEP_MEC
2024,MA,59.4,59.6,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,MA,62.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,MA,66.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,MA,69.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,MA,73.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,MA,76.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,MA,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,PI,,52.0,,INEP_PUBLICADO,INEP_MEC
2024,PI,56.0,59.8,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,PI,60.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,PI,64.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,PI,68.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,PI,72.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,PI,76.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,PI,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,CE,,85.0,,INEP_PUBLICADO,INEP_MEC
2024,CE,84.3,85.3,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,CE,83.6,84.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2026,CE,82.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,CE,82.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,CE,81.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,CE,80.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
